タイトル,レビュー,カテゴリー,星数,参考になった数
冷却が旧品より早い。,"冷却が旧品より早い。
予定通り商品を受け取りました。大切に使いたい。
","1,2,7",4.0,4
単身〜二人暮らし冷蔵庫の最適解,"単身〜二人暮らし冷蔵庫の最適解
いやこれまじでいいです。
デザインと機能に全く無駄がない。最低限の最高という商品です。
",1,5.0,2
満足！,"満足！
この時期に冷蔵庫が壊れて急遽購入した

本当にありがたい冷蔵庫。
スリムで収納も沢山あって大満足！
",1,5.0,1
完璧！！,"完璧！！
175Lで結構はいります、静かだし、安いですが、使いやすいです。良かったでした。","1,3",5.0,0
コスパいい,"コスパいい
高さは、測ってみて140cm辺り、だいたい胸の辺りです。

温度調節は正直体感ではよく分からない。

静音性は、ベット(頭位の位置)から約3.5m、冷房は4、他に音がない静かな夜で、うっすらと作動音が聞こえる程度。私は気にならないが、小さい音が気になる方は気になる程度だと思う。

大きさは写真にある通り、少しの空間があればおけて、開くのに、人が1人立てるぐらいあれば開けれる
カスタマー画像カスタマー画像
","1,4",4.0,4
姉に,"姉に
姉の代わりに買いました。収納がたっぷりで、たくさん冷凍できると言ってました。",1,5.0,0
コスパいい,"コスパいい
同棲する際に購入
製氷機がついててこの値段は安い
中の棚は2段目が取り外し可能で、大きな鍋も入れることが出来て良い
収納力も高く、2~3人分の1週間分の食材なら余裕で入る
特別な機能（高性能のチルド）とか求めてない人にはおすすめ
","1,3,4",5.0,2
満足。,"満足。
価格、容量、デザイン）満足しています。
","1,3",5.0,2
まだ買って間もないので,"まだ買って間もないので
大きさも容量も親子２人暮らしの作り置き保存にちょうど良い
霜取りが無いのは残念ですが安さ重視だったので霜がついたら冷凍庫の大掃除！と大掃除の目安だと考えています
何より配達、設置の方が親切丁寧でとても良かったです
カスタマー画像
","1,3,4",4.0,11
全体的にはよいです,"全体的にはよいです
使用していると内壁の奥の部分に水滴が発生するようで、確かに下に水抜きのような穴はあるのですが、
奥の内壁に物が接触すると水が棚のほうに伝ってしまいます、チョコレートのような紙箱製のものだったりすると水分を吸ってしまって外箱はダメになってしまします、奥の壁には冷やすものを押し付けないようにしは方が良いみたいです。
それ以外はとても良いかなと思います。
",1,4.0,8
使い勝手.,"使い勝手.
とても良いと思います.思っていたよりも使い勝手がよくとても気に入りました．ただ側面の熱量が気になるところが－－－－－－－．ともあれどうもありがとうございました。
",1,5.0,3
コスパが最高！,"コスパが最高！
安いので何も期待せずとりあえずで購入しましたがもうこれでいいかなと思ってます。
冷凍庫が仕切られているのもいいです。
弱めにしておくとドアの方に飲み物を入れているとあまり冷たくならなくて、強めにすると壁側が氷ってしまうのですが、置く物と場所を考えたら問題ないです。
発送も早いし設置もしていただけて大満足です！
","1,3,7",5.0,4
スッキリ,"スッキリ
コンパクトですがスッキリしたデザインで内容量も困ることはなくgoodです
",1,4.0,2
一人暮らしだったらコスパ◎,"一人暮らしだったらコスパ◎
男性一人暮らしで自炊派の私は現在3ヶ月使用しましたが不便に感じる所がありません。音も静かで霜も付きにくくとても満足しています。欲を言うなら冷凍庫にもライトをつけて欲しいぐらいです
","1,4",5.0,3
自炊する一人暮らしにちょうどいい,"自炊する一人暮らしにちょうどいい
コンプレッサーが気持ちうるさい気もしますが、近くに居ないと気にならないです。
自動製氷がこのサイズであるのがうれしいです。
",1,4.0,4
静か,"静か
静かで冷凍室が多めで非常に便利です。",1,3.0,0
機能に無駄がない,"機能に無駄がない
サブ冷蔵庫として購入しました。リーズナブルなので、あまり期待せずに購入しましたが、よけいな機能がないので、使いやすいです。シンプルなので、おすすめです。
","1,3",5.0,1
予想以上にデカい！,"予想以上にデカい！
価格が安かったので、大きな期待はしていなかったが、到着してビックリ！
予想以上にデカく、見た目も洗練されている","1,3",5.0,0
冷凍庫も凍る,"冷凍庫も凍る
冷蔵庫に入れてても凍ってしまう。
ダイヤルを5にすると冷蔵庫はちょうどいいが、
冷凍庫が冷凍庫されず、アイスが溶けてしまう…。これが普通なのかな？問い合わせしてみようかなと思う。
",1,2.0,2
一人暮らし用に,"一人暮らし用に
右開きにも、左開きにも、変えられるのは便利。
一人暮らし用に便利なサイズ。
冷凍庫に霜がついてきて困っている。
","1,4",4.0,7
使いやすいです！,"使いやすいです！
冷凍庫が3段あるのがとても重宝しています！
 ",1,5.0,0
一人暮らしにはちょうどいいが冷凍庫がせまい。,"一人暮らしにはちょうどいいが冷凍庫がせまい。
子供の一人暮らしで購入しましたが冷凍庫が大きいものっと言って買いましたが、うーんこの価格では仕方がないレベルかも、冷凍食品が思った以上に入らないんですよね。
","1,4",3.0,1
配送も早く助かりました,"配送も早く助かりました
配送業者の方がすごく親切にして頂いて助かりました。冷凍庫が三分割になっていますが、思いのほか少し使いづらいと感じました。サイズは問題なく音も私は全然気にならなかったので買って良かったです。","1,7",5.0,0
使いやすい,"使いやすい
買ってよかった",5,5.0,0
シンプルで使いやすいですが冷凍室の扉が少し気になりました。,"シンプルで使いやすいですが冷凍室の扉が少し気になりました。
非常にシンプルで使いやすいです。
ただ冷凍室が扉を開いて引き出すと言った構造なのでまだ慣れません。
個人的にはシンプルに引き出し式の方がよかったように思います。
",1,4.0,2
一人暮らしは最適,"一人暮らしは最適
一人暮らしなら充分！見た目もいい。2人だとキツキツになりそう！とにかく気に入ってます！
","1,4",5.0,2
もう少し,"もう少し
見た目も価格も最高な冷蔵庫です。
ただドアが少し重たいので開閉がしずらいです。
","1,3",3.0,3
音,"音
音が無音で静かで良かった。
さすが23db
",1,5.0,1
使いやすいです。,"使いやすいです。
冷凍室が引き出し式なのが便利です。
",1,4.0,2
大満足です。,"大満足です。
前回購入したメーカーは、すぐ壊れてしまいました。
購入する前は、値段的に少しうるさいかもと思っていたけど、実際使用したらとても静かで本当に電気が入っているのか？と思うぐらいですね。
本当に購入して大満足ですね。
",1,5.0,2
大容量,"大容量
容量も大きく、よく冷えます。",1,5.0,0
コスパはいい、あたりハズレがあると思う,"コスパはいい、あたりハズレがあると思う
同じ商品を使ってる友人からの紹介でこちらを購入

自動製氷や自動掃除などの性能がついてる割に9万を切る安さなので、コスパはかなりいい。

配達して設置してもらったあと最初の4日間くらいは広告通り、冷え、製氷、静音でまったく問題がなかったのですが、5日目くらいから使ったあと(開けて物置いたり取ったりしてドア締めた後)に冷却の時にブーンって道路のバイクかなってくらいの音がし始めた、リビングでテレビ見ててもえ？ってなるくらい。

最初はフロンのせいかなと、しばらく待つと収まるかなと思って、様子みしたら30分程度でブーンが収まったら、ジリジリジリジリって鈴虫がずっと鳴いてる音が出るようになる。
一晩開け閉めなど使わなければ一旦収まるが、開け閉めすると冷却が始まって、上記の音がループでなり続ける。

しかたなくAmazonに問い合わせると一旦メーカーのサポートを受けるようにとのことで
ハイセンスのサポートに問い合わせて、メンテナンス担当者に家まで来てもらって判断したら
やっぱりコンプレッサー不良(初期不良)とのことになり、商品の返品になりました。

性能自体がいいので、やっぱり当たり外れがあるのは厳しいですね。
","1,3",3.0,15
冷凍庫より、冷蔵庫メインの使い方なら、これ！,"冷凍庫より、冷蔵庫メインの使い方なら、これ！
一人暮らし用の小さな2ドア冷蔵庫を使っていましたが、買い溜めする際に容量不足になったためこちらを購入。

冷蔵庫を選ぶ際に国内メーカーのものと見比べ、自分には機能が多すぎると感じたため価格を重視しこちらを購入。

使った感想としては冷蔵庫の大きさに対して冷凍庫が小さいので、冷凍をメインで使う私にとってはもう少し冷凍庫が大きい方が好みだったと思う。国内メーカーの家電のように余計な機能がなく、シンプルに冷やす、凍らすのみ！

ぼってりとしたファミリーサイズの冷蔵庫よりはスリムな印象なのも好みなところ。

無駄な機能は入らず、シンプルに使いたい人にとっては良い選択だと思う！
","1,4",4.0,15
一人暮らし,"一人暮らし
一人暮らしには丁度良い大きさ","1,4",5.0,0
値段相応といえばその通り,"値段相応といえばその通り
冷えてんのか？と言わざるを得ない
",1,3.0,4
安物買いの・・・,"安物買いの・・・
このサイズで3万以下の2ドア冷蔵庫を探していて、タイミングよく購入。従来冷蔵庫で霜取りを意識していなかったので、安ければと購入しました。昔に比べると霜取りがなくても問題はないかと思いましたが、昔のままの印象ですから、霜取り付を購入をお勧めします。それ以外は容量的にも、音も静かです。霜はしっかり付きます。
","1,2,3",2.0,1
扉が自動的に閉まってくれるので、有り難いです。,"扉が自動的に閉まってくれるので、有り難いです。
よく冷えます。
音は騒音ほどでらなく、冷やそうとする時だけ、今までと違う音が聞こえるので、少し気になる程度です。
冷凍室の引き出しは3つあって、いいサイズだと思います。ちなみに、引き出した時のストッパーはないので、手前に落ちます。
","1,2",4.0,10
シンプルイズベスト,"シンプルイズベスト
余計な機能は要らないので、ニトリの黒い冷蔵庫を検討していました。同じメーカーの同タイプで配送料がこちらの方が安かったのと、色がお洒落で気に入ったのでAmazonで購入。僻地にも関わらず届く迄が中２日と早い上にヤマト運輸さんのお届け•設置がとても丁寧でした。あとは耐久がどうかですが、それも承知の上でとても満足しています。
","1,2,7",5.0,2
めちゃくちゃいい,"めちゃくちゃいい
見た目も機能性も使いやすい！
野菜ケースは、上まで蓋ある
冷凍庫のこの形使いやすい
",1,5.0,1
海外製大丈夫かな？,"海外製大丈夫かな？
あまり聞いたことのないメーカーで、中国の企業（個人的な偏見です）だと言うのもあり、躊躇していました。
価格はリーズナブルだし、デザインやその他仕様も自分のライフスタイルに合っていたのです。だけどなぁ...。しばし逡巡（笑）
背に腹はかえられぬと、思い切って購入！

結果購入して良かったぁ。
設定ダイヤルが「0と1のあいだ」にも関わらず、冷蔵も冷凍もパワフルなので充分機能してくれます。
このメーカーをネットで調べて、前述の偏見も消えました。（失礼しました）
今度洗濯機が壊れたら、このメーカーの物も選択肢になりますね。
","1,3",5.0,5
必要にして十分。,"必要にして十分。
必要最低限のものかと思います。
せめて言えばこのサイズで自動製氷ができればもっと良かったです。",1,4.0,0
2人暮らしにちょうどいい,"2人暮らしにちょうどいい
引っ越しを機にこちらの冷蔵庫を購入。
2人暮らしで使用していますが問題ありません。スリムな形で圧迫感もあまりなく、中身の容量もたくさんあるので有り難いです。
設置の為にサービスを利用しましたが丁寧に作業していただき助かりました。
","1,4",4.0,2
騒音大き,"騒音大き
素早く発送され届きました。大きさや見た目全部思った通りですが、動作の時の音は思ったより大きいです。
でも値段的に安いからいい感じ。
","1,3,7",4.0,4
それなり,"それなり
温度調節機能はあるもののとにかく霜がつきやすいし、取るのに一苦労。
次は少し高くても霜取り機能のあるものを買います。
",1,3.0,6
いいですね。,"いいですね。
冷蔵庫は静かです。 同じ部屋で寝ると、騒音が聞こえる場合があります。 それは正常です。

28度の室内：冷蔵庫の上半分。 1日6回ドアを開ける。
温度レベル 7 でレタスが凍ります。
温度レベル 6 でレタスが凍ります。
温度レベル 5 では、レタスが急速に凍結することはありません。 冷凍ウォーターボトルは安定したままです。 2日後に多少の融解が起こります。
温度レベル 4 では、レタスはまったく凍りません。

28度の部屋：冷凍庫の下半分。
温度レベル 7 では、24 ～ 36 時間で 10 リットルの水が凍ります。
サントリーの2リットル・1リットルペットボトル：凍結により膨張し、プラスチック製の引き出しが破損します。
すべての温度設定は、さまざまな期間で水を凍らせます。

私の意見：
ドアを何度も開けて頻繁に食べる場合は、温度レベル 5 が適しています。 野菜はとてもデリケートです。 ただし、野菜室は使いません。
","1,4",5.0,8
全体的にはまあまあです,"全体的にはまあまあです
全体的にはまあまあです
カスタマー画像
",5,4.0,3
コンパクトで使いやすい,"コンパクトで使いやすい
1〜2人暮らしには丁度良いサイズです！
カラーもブラックでインテリアとしてもオシャレで気に入ってます(^｡^)","1,4",5.0,0
シンプルで使いやすい,"シンプルで使いやすい
古い冷蔵庫から買い替えたが、2人家族には最適な大きさで、シンプルでいて使いやすい。見た目もシルバーグレー一色でかっこいいので、過去使っていた冷蔵庫のようにマグネットを貼る気がしなくなる。
","1,4",4.0,4
安い,"安い
値段が安かったのでどうかと思いましたが、容量も二人家族では十分かと！冷凍室はすごく冷えます！冷蔵の方はダイヤルの5では冷えが弱いような気がして6まで回してます！後は耐久性だけかと、
","1,3,4",4.0,4
一人暮らしにぴったり,"一人暮らしにぴったり
カスタマー画像",4,5.0,0
霜取りがないためオススメはしません。,"霜取りがないためオススメはしません。
冷蔵庫が壊れてしまい、たまたまタイムセールで見かけて購入しました。
冷蔵庫は問題ないですが、霜取り機能がないため、冷凍庫の扉が少し空いてると、霜が凄くなり1番上の引き出しが開かなくなり、四苦八苦してます。あまりオススメはしません。
",1,2.0,6
冷蔵庫内の温度変化が著しい,"冷蔵庫内の温度変化が著しい
冷蔵庫の背面側に氷がついたり溶けたりを繰り返してて、保存してるものが腐りやすい気がします、、、、
冷凍庫は、霜で早くも封鎖されつつある引き出しがあります。
冷凍庫たくさん入るから嬉しかったんですけどね、、
",1,2.0,3
お得品,"お得品
値段の割に大容量です。冷凍庫の容量も多いので冷凍品を買いだめしておけます。ただすぐに霜が出来るのでこまめに落とさないと後が大変です。注意書きにあるように5センチ開けるのは触ると納得しますが熱が出てます。
","1,3",4.0,8
冷凍庫,"冷凍庫
冷凍庫の温度調節が微妙。

低めに設定して使ってすぐに霜が出来てしまった。
",1,4.0,4
冷凍室はよく冷える、冷蔵室は…,"冷凍室はよく冷える、冷蔵室は…
購入して二日目のレビューです。
設置はアマゾンのオプションの110円でやってもらいました。
フローリングに傷がつかないよう敷物を敷いて迅速で丁寧でした。

冷蔵室の上部にメモリが付いており、7段階で調節できます。
最強の7で長時間運用しないでくださいとのことでした。
暑い7月だったこともありパワーを見たかったので、メモリを7にして6時間ほど内部を冷やしてみました。
冷凍庫はバッチリ冷えていて、付属品の製氷皿に入れていた水はほぼ凍っていました。

冷蔵庫はそんなにキンキンには冷えないみたいです。
温度計が無いので計ったわけではないですが15~20度くらいでしょうか？
夏に冷たい飲み物が飲みたくなったら冷凍室にしばらく入れておいた方がいいかもしれません。

音についてですが、コンセントを挿した時こそ少しファンの音が聞こえましたがその後はほぼ無音に近いです。
全く気にならず夜もぐっすり眠れました。

容量は175Lのものを買いましたが、独り暮らしなら持て余すと思います。
2人でも全然余裕で使えると思います。
","1,4",4.0,12
コスパ最強,"コスパ最強
Hisenseの冷蔵庫非常に気にいってます。

Hisense 傘下 TOSHIBAだけあり
信頼の品質は納得です

知り合いが Hisense50インチテレビ購入し
拝見しましたが コスパ最強です

しいて言うなら 国内とのちがいは
価格とロゴが違うくらいですね
個人的には👍
","2,3",5.0,3
非常に良い！,"非常に良い！
個人的には風量も機能も申し分なく、さすがというところ。

ただ、細かく見ると少しクセがあるかなと。
タイマー機能がありますが設定時間の自由度が低いかなと。
そんな感じで機能を絞ってコスト下げてる？と言う感じに思いました。","1,3",4.0,0
見た目が良い,"見た目が良い
今までお安い扇風機をかってましたが見た目がこっちの方がはるかによく見えます
音も静かです
また、安い物ですと首振りがカクカクしているけど
この商品はわりとキレイに動きます","1,2,3",5.0,0
プラズマクラスター付き扇風機,"プラズマクラスター付き扇風機
静粛性は抜群で　熱帯夜の夜は　エアコンとの合わせ技で大活躍でした。
表示関係も派手じゃないので　夜間まぶしいこともなく　良かったです。
強いてあげれば　あまりにも重いのが難点で　掃除の時に場所をずらすのが
ちょっと気合いが筆世です。","1,4",4.0,0
定番品で安心　2台目,"定番品で安心　2台目
今年の暑い夏に2台目を遅くに発注。",8,4.0,0
最高やね！,"最高やね！
安物とは違う！",3,5.0,0
少し小ぶりですが,"少し小ぶりですが
最大の5にすると音が少し気になりますが、1から3程度であれば静かです。使い勝手はいいと思いますよ。",1,4.0,0
満足,"満足
安い割には良い
早く届いた
強いて言えば音が少しうるさいが気にはならない
","1,3,7",4.0,1
風そよそよ,"風そよそよ
優しい風で就寝時に最適。
他の扇風機だと翌朝鼻水出たり微妙に風邪ひきそうな体調になりますが、この機種で2、3の風量で首振りしていればだるくなりにくい。
音が静かなのは間違いないです。家に他社のACサーキュレーターがありますがこの機種と比べると爆音に感じます。

どの程度直進性や風量が必要かで印象は変わると思いますが、サーキュレーター用途としては余り期待しない方が良いかなと思います。
ただ、風量強めで上下左右3D首振りしていると室内の空気はゆっくりと撹拌されていると感じます。10畳以上の広い空間では力不足かもしれない。

他の扇風機より高めの価格設定ですが、コンパクトで持ち運びもし易く圧迫感がないわりには羽形状の工夫により風量はそれなりにありますし、DCモーターで静か。
ただ、リモコンは赤外線仕様で入力角に制限があるので、どの方向からも操作できるリモコンではないのが残念。

ぽかぽか陽気だけど風がない休日、お昼食べた後に窓際でリズムに設定した微風を受けながら鳥やらなんやらの鳴き声聴いてうとうとするのが最高。","1,2,3,4",4.0,0
羽の形が特殊,"羽の形が特殊
涼しいような感じだが上下の動く機構がちょっと硬めでうるさい",1,4.0,0
デザインも良いですね,"デザインも良いですね
リモコンがあるのでとても便利ですね。音もちょうど良いですね♪ありがとうございます♪",1,5.0,0
プラズマクラスター 7000,"プラズマクラスター 7000
屋内に洗濯物を干す際にも活用してます。生乾き臭もなく快適です。扇風機としても当然活用してます。
",4,5.0,1
思ったより小さく,"思ったより小さく
パワーが小さく感じます
ただコンパクトなので普通の扇風機と比べて部屋の中で邪魔しません","1,2",4.0,0
重宝してます,"重宝してます
一点不満が有るとしたら
真上に向いた首が中々帰ってこない事、
手で動かすのも怖いので、そこだけかな、",1,4.0,0
シャープ 扇風機 リビングファン ACタイプ,"シャープ 扇風機 リビングファン ACタイプ
リズム風が気に入っています。そよ風のよう。夜点滅ライトが目障り。",1,5.0,0
涼しい,"涼しい
プラズマクラスター🍇も付いているし、動作中の音も静かなのでとても気に入った。寝るときにも重宝しています！もっと早く買えば良かったという感じ。
カスタマー画像
","1,4",4.0,1
多機能で便利です,"多機能で便利です
良い
・9段階の風力設定
・首振り角度が3段階(50.70.90°)
・同時設定可のOnOffタイマー
(1時間刻みで最長8時間後まで)

悪い
・操作ボタン
物理ボタンではなく、少しでも触れると
そのボタンを押したことになるので、
ちょっと過敏かも。
・重さ
6kgあるので片手でも持ち上げられるが、
それなりに重いと感じる

最上位モデルなので扇風機としての機能に不満は全くなく、満足しています。
プラズマクラスターの効果はちょっとわかりません。
",1,4.0,3
大きい,"大きい
風はとても柔らかくて心地よい。安く買えて良かったけれど思っていたよりも大きく場所を取る。
","1,3",4.0,1
送り状もしっかり入っていて、とても丁寧に梱包されていました。,"送り状もしっかり入っていて、とても丁寧に梱包されていました。
思っていたよりも軽くコンパクトでかわいい感じです。それでも機能は良く空気を撹拌するようにも動いてくれるので夏場だけでなく冬場にも使えそう。桁違いに高い扇風機と思いきやワットは少ないので電気代の節約になります。安く買えたのでラッキーでした。
カスタマー画像","1,3",5.0,0
電気代がとにかくかからない,"電気代がとにかくかからない
電気代節約の為購入
コンパクトなのに　風量強く出せるし　うちわ程度の微風も出る
コンパクトなので　これを使うと今までの扇風機の大きさが無駄に場所をとっていると思った

まだ扇風機としか使ってないので　他の機能についてはこれから試したい
絶対おすすめ","1,2",5.0,0
重たい。,"重たい。
音は静かで快適です。
重たいので持ち運びが大変です。
あと電子音がよく鳴る設計なのでちょっとうるさいです。",1,3.0,0
良かった,"良かった
買ってよかったです。
部屋の臭いも消えたかも。
良かったです。",1,5.0,0
コスパよし,"コスパよし
各部屋にコスパよし","3,4",4.0,0
全く問題無し,"全く問題無し
やはり日本製品だけあって問題無し。",2,5.0,0
小さいがパワーはある,"小さいがパワーはある
直流モーターだからだろうが
羽が小さいけど風量は十分だがやはり風が当たる範囲は少ない
冬はサーキュレーターとしても使えるので便利と思う
","1,4",4.0,1
静か,"静か
リモコンも使いやすく、音も静かで良いのですが、風量が3つ＋リズム風。もうひと段階弱いのが欲しかった。
プラズマクラスターは実感するのは難しい。",1,4.0,0
風は心許ない。けどフルで動かしてます。,"風は心許ない。けどフルで動かしてます。
【欠点】風が欲しいなら普通の扇風機が良い。
扇風機とはまた違った雑音があり、古い居宅では深夜帯の睡眠時の使用時に気になった。
驚くほど背が低くて開封して後悔した。

【利点】やはり首振り。首振りは安定している。同価格帯と比べても動く範囲に無駄が無い様に思う。
良い意味ではコンパクト。
質感はしっかりした印象。

【使用法】主には空気循環。洗面浴室の送風などにも使ってます。個人的には上下左右の首振りの効果を感じます。
二、三人の室内干しの補助としては必要十分に感じた。ただ、家族が多いと感想は変わると思うかな。その時には羽の小ささに不満が出るかもしれない。(あくまでも個人の勝手な意見だけども)

【総評】僕は、不満は感じつつも、なんだかんだで常に動かしているので、それが答えだと思っています。

【おまけ】就寝時、振動する雑音対策として、百円均一にあるスチロールブロックの上に置いて振動対策しています。かなり軽減されたので、今は深夜帯も風量4にて付けっぱなしです。
","1,2,3,4",4.0,3
静かでいい,"静かでいい
心地よい。",5,5.0,0
良好,"良好
問題無く使っています",5,4.0,0
気持ち良い風,"気持ち良い風
縦型の扇風機なども我が家にありますが、昔ながらの扇風機が使いやすく購入。

気持ち良い風で大満足です！","1,2",5.0,0
良,"良
普通に良いです。風量MAXだと紙とか袋とか家のものがふっとぶくらいの強さです。リモコンで首振りも操作出来ればなお良かったです。
","1,4",4.0,1
風が柔らかい,"風が柔らかい
寝室で寝るときに使用使用しています。
ほかの扇風機と比べ、風が柔らかいように感じ、手足が冷えすぎることが減った気がします。
静穏性も高いため、風量を低く設定すると音はほぼ気にならないです。
また、センター搭載なので、室温に応じて自動で風量を調整してくれるのもうれしいです
","1,4",4.0,3
動きがかわいい,"動きがかわいい
今まで同タイプの扇風機を使用していましたが、上まで風を当てたいと思いこちらを購入。
サーキュレーターだからか比べると音が少し気になります。
クルクル回る姿は見ていてかわいいと思います。
扇風機の3Dはないものでしょうか？？",1,4.0,0
この価格なら機能十分,"この価格なら機能十分
ACモーターですが、シャープ製の扇風機がこの価格ならお買い得だと思います

【付いてる機能】
ACモーター
風量切替3段階
切タイマー3段階
プラズマクラスター7000
リモコン
左右首振り（つまみ押し込み式）
チャイルドロック
電源ケーブルの長さ1.6m

【付いてない機能】
液晶表示
入タイマー
左右首振り角度設定
上下首振り

【電気代】
関西圏60Hz時の消費電力は
最大風量、首振りありで47.5w
最小風量、首振りありで27w

1時間の電気代（電気単価30円の場合）
最大風量、首振りありで約1.43円
最小風量、首振りありで約0.81円

1時間の電気代（電気単価25円の場合）
最大風量、首振りありで約1.19円
最小風量、首振りありで約0.68円

関東圏50Hz時は60Hz時より1〜3wほど消費電力が低いので、電気代も0.02円〜0.1円ほど安い

不満ではなく個人的な好みになりますが、電源ケーブルが少し短い（2mはほしい）のと、扇風機を入ってた箱に収納しようと思うとほぼバラさなければならない（10年前に買った三菱製扇風機は簡単に収納出来る）ので、星4つです
","1,2,3,4",4.0,5
良い,"良い
良い",5,4.0,0
移動に便利,"移動に便利
今回の購入が3台目
小型で持ち運びに苦労しない、サーキュレーター代わりにもなるので助かってます。","1,4",5.0,0
コンパクトで良い,"コンパクトで良い
思っていたよりコンパクト。
風は涼しく感じます。
音も静か
操作もシンブルで良い。

首振りは縦と横で組み合わせも可能だが、組み合わせると随分広範囲なのでなかなか欲しいところに戻ってこない感じなので、自分は使わない。","1,4",4.0,0
リビングのサーキュレーター兼扇風機として購入,"リビングのサーキュレーター兼扇風機として購入
リビング（10畳）と続き間（５畳）の空気拡散・攪拌用に購入。これまではタワーファンを使っていましたが、天井の空気まで拡散できる上下首振り機能に引かれました。リビング扇で使うには羽が小さいかと思いましたが、パワーは十分。冷房効率アップに貢献してくれていると思います。風量は８段階中６段階目で使っていますが、作動音はシロッコファンのタワーファンより静かになりました。４段階以下なら本当に静かなので、寝室でも使えます（軽いから移動も楽）。","1,2,4",4.0,0
安いし普通に良い,"安いし普通に良い
某ラジオ通販サイトより安く見た目も良く普通に良い。","1,2,3",4.0,0
音が静か,"音が静か
音が静かです
ライトが消えず眩しいのが残念なとこです
それ以外は満足です",1,5.0,0
風量が物足りない,"風量が物足りない
私の確認ミスだか、思ったより小さい。",1,3.0,0
壁掛けタイプ扇風機,"壁掛けタイプ扇風機
これは場所を取らずに便利です！空気清浄機能も付いてる？そこが不思議。",1,5.0,0
ファンの風向きが広範囲,"ファンの風向きが広範囲
【気に入った所】1）ファンの風向きが広範囲 ２）ファンの回転音が静か 3）デザインがスマート
【気に入らなかった所】1) ファン位置の高さが645ｍ/ｍで低い（承知の上で購入）2) ファンのサイズが250ｍ/ｍで思ったより小さい。(300ｍ/ｍ位と思っていただけで、ファンが小さいから良い悪いと言っている訳では無い) 3) ファン位置の高さ調節のロック位置が均一ではなく不規則になっている。

 ",1,4.0,2
やっぱりメーカーが良い。,"やっぱりメーカーが良い。
やっぱりメーカーがいい！
",5,4.0,1
静か,"静か
とても気に入りました。",5,5.0,0
壁掛け扇風機をやっと取り換えました。,"壁掛け扇風機をやっと取り換えました。
６月に買ったシャープの壁掛け扇風機を７月に入って暑いので取り換えました。
以前から台所で壁掛け扇風機を使用しています。シャープのＰＪ－Ｐ３ＡＫは羽の角度が良いのか、モーターが良いのか中、弱の風音は以前のと比べても静かです。プラズマクラスターの効果は分かりませんが。
（まだ半月ぐらいの使用なので、個人の意見です）
","1,2",4.0,2
リモコン付き🎵,"リモコン付き🎵
首振りはリモコン操作出来ませんが、まぁ値段を考えたら良きかな、と思います。","1,3",4.0,0
信頼のシャープ製だが，やや安っぽい。,"信頼のシャープ製だが，やや安っぽい。
商品開発がいい加減なパナソニックと比較して，シャープは個人的は信頼度の高いメーカーである。かなり安く買えたので，そこそこ満足だが，デザイン（特に前面）が悪く安っぽい。
","1,3",4.0,2
充分です,"充分です
今まで使っていたSHARP製の扇風機が古くなったので、新しく購入。組み立ては簡単でした。安く変えましたし、今年は暑かったので、2台購入しました。動作音は静かです。","1,3",5.0,0
良い風,"良い風
迅速に対応して頂きました。
音は無音ではありませんが普通だと思います。ionが発生してるようで心地良いです。",1,5.0,0
会社で使用,"会社で使用
リモコンはいらないと思っていましたが　やっぱあると便利　この値段ありがたい
","1,3",4.0,1
良いです,"良いです
使いやすいし、パワーがあって良いです！",1,5.0,0
良い,"良い
組み立ては簡単でした。
けっこう静かです。

高さがもう少し高くなれば良いのと、横振り角度が調整出来ると良いなぁ～と思い星４つです。
",1,4.0,1
オンタイマーが有り難い,"オンタイマーが有り難い
昼間は働いていて留守にするので、猫達の為に、気温の上がる１２時くらいから扇風機を付けられたら良いなと思い、オンタイマーのある扇風機を探していました。
風も柔らかで、音も静かで購入して
良かったです。","1,4",4.0,0
いいと思います,"いいと思います
シンプルでいいと思います。リモコンもシンプルなので
暗闇でもOKです。2台目購入しました。",1,5.0,0
軽さ,"軽さ
コンパクトで持ち運びしやすいです。
",1,4.0,2
良いです。,"良いです。
届いてからお天気がよいので、洗濯物を乾かすために使うことはありませんが、よさそうです。
",1,4.0,1
品物は良いです,"品物は良いです
吊り下げる壁がショボいとモーター音が反響してうるさく感じますが それ以外では特に文句の付けようもないですね。
",1,4.0,1
バタフライの風に癒されます,"バタフライの風に癒されます
バタフライフィンのおかげで静かなで優しい風を体感出来ると思います。",1,4.0,0
組立簡単,"組立簡単
扇風機って長持ちするから、20年前の物との比較ですが、
静か、梱包がコンパクト、組立簡単でした。
また20年持つのかな？
","1,2",4.0,1
メーカー,"メーカー
シャープってメーカー品なので安心です。ただ首振り機能の範囲が変えれないので必要以上に動いてしまう。
",1,4.0,1
よかった,"よかった
音が静かでよかったです。",1,5.0,0
小さい。,"小さい。
思ったよりサイズが小さかった。サーキュレーターとしては、問題ないのですが、扇風機としては物足りない感じです。あと、コードがアダプターなのも、耐久性が心配です。",1,3.0,0
機能性良く、使っています。,"機能性良く、使っています。
以前購入のものは温度表示があったがこれはないこと。",1,5.0,0
扇風機が一台買うことにした。,"扇風機が一台買うことにした。
特に気になる点は無いです。
だいたい思ったとうりのものでした。
",5,4.0,1
